.smooth,.estimate,.se,name,x_value
s(gam_age_diag_prod),-1.721532934591321,2.6721995884270293,diag_prod,4363.636363636364
s(gam_age_diag_prod),-1.7713734472362836,2.777118203907665,diag_prod,4454.545454545454
s(gam_age_diag_prod),-1.8212974303602942,2.8818121341998175,diag_prod,4545.454545454545
s(gam_age_diag_prod),-1.8717533533780015,2.986274174624425,diag_prod,4636.363636363636
s(gam_age_diag_prod),-1.9231534387279268,3.0904985829675495,diag_prod,4727.272727272727
s(gam_age_diag_prod),-1.9758549602529325,3.1944812648358787,diag_prod,4818.181818181818
s(gam_age_diag_prod),-2.0301439654883238,3.2982202038463564,diag_prod,4909.090909090909
s(gam_age_diag_prod),-2.0862361638983487,3.401715468022664,diag_prod,5000
s(gam_age_diag_prod),-2.1442816653547343,3.5049693234754247,diag_prod,5090.909090909091
s(gam_age_diag_prod),-2.204367792795286,3.60798654716807,diag_prod,5181.818181818182
s(gam_age_diag_prod),-2.2665177626468123,3.7107748374587457,diag_prod,5272.727272727273
s(gam_age_diag_prod),-2.330694914096883,3.8133447694052682,diag_prod,5363.636363636363
s(gam_age_diag_prod),-2.3968202253264446,3.9157089436877865,diag_prod,5454.545454545454
s(gam_age_diag_prod),-2.4647850746105884,4.017881228968555,diag_prod,5545.454545454545
s(gam_age_diag_prod),-2.534457954513294,4.119876324728551,diag_prod,5636.363636363636
s(gam_age_diag_prod),-2.6056934331528785,4.2217091953737995,diag_prod,5727.272727272727
s(gam_age_diag_prod),-2.678340886009699,4.323394775416949,diag_prod,5818.181818181818
s(gam_age_diag_prod),-2.752250110179957,4.424947889071646,diag_prod,5909.090909090909
s(gam_age_diag_prod),-2.8272754935011255,4.5263836195965945,diag_prod,6000
s(gam_age_diag_prod),-2.9032808610070604,4.627718313562959,diag_prod,6090.909090909091
s(gam_age_diag_prod),-2.9801394038759548,4.728970011295243,diag_prod,6181.818181818182
s(gam_age_diag_prod),-3.057732936289487,4.8301587741185585,diag_prod,6272.727272727273
s(gam_age_diag_prod),-3.1359537377377174,4.931307128275232,diag_prod,6363.636363636363
s(gam_age_diag_prod),-3.2147037356514514,5.032439791412346,diag_prod,6454.545454545454
s(gam_age_diag_prod),-3.293891704473992,5.1335828648964785,diag_prod,6545.454545454545
s(gam_age_diag_prod),-3.3734328906175186,5.23476311316,diag_prod,6636.363636363636
s(gam_age_diag_prod),-3.453248716756976,5.336007102727882,diag_prod,6727.272727272727
s(gam_age_diag_prod),-3.5332676527124565,5.43734032326629,diag_prod,6818.181818181818
s(gam_age_diag_prod),-3.613424262907696,5.538786461575558,diag_prod,6909.090909090909
s(gam_age_diag_prod),-3.6936592979125913,5.640367021937844,diag_prod,7000
s(gam_age_diag_prod),-3.773920990118962,5.742101242158382,diag_prod,7090.909090909091
s(gam_age_diag_prod),-3.8541668417212946,5.84400624050153,diag_prod,7181.818181818182
s(gam_age_diag_prod),-3.934363269822013,5.946097502141195,diag_prod,7272.727272727272
s(gam_age_diag_prod),-4.01448533574266,6.048389387057103,diag_prod,7363.636363636363
s(gam_age_diag_prod),-4.094516731121502,6.150895465410075,diag_prod,7454.545454545454
s(gam_age_diag_prod),-4.174448271431089,6.253628741084576,diag_prod,7545.454545454545
s(gam_age_diag_prod),-4.254278934565482,6.356601463653743,diag_prod,7636.363636363636
s(gam_age_diag_prod),-4.334014019351253,6.459824774283163,diag_prod,7727.272727272727
s(gam_age_diag_prod),-4.413661493261364,6.563308275415353,diag_prod,7818.181818181818
s(gam_age_diag_prod),-4.493231867178239,6.667059537017156,diag_prod,7909.090909090909
s(gam_age_diag_prod),-4.572737560832673,6.771083679568719,diag_prod,8000
s(gam_age_diag_prod),-4.652191570078944,6.875383215240861,diag_prod,8090.909090909091
s(gam_age_diag_prod),-4.731606237441421,6.979958065047768,diag_prod,8181.818181818182
s(gam_age_diag_prod),-4.8109928493133065,7.084805293186109,diag_prod,8272.727272727272
s(gam_age_diag_prod),-4.890361399668439,7.1899191090150145,diag_prod,8363.636363636364
s(gam_age_diag_prod),-4.969719004066786,7.295292106262513,diag_prod,8454.545454545454
s(gam_age_diag_prod),-5.0490695381585455,7.400916318808755,diag_prod,8545.454545454546
s(gam_age_diag_prod),-5.1284150528304755,7.506783082928095,diag_prod,8636.363636363636
s(gam_age_diag_prod),-5.207756999582036,7.612882517979322,diag_prod,8727.272727272728
s(gam_age_diag_prod),-5.287096805760942,7.719203144088625,diag_prod,8818.181818181818
s(gam_age_diag_prod),-5.366435769287257,7.825732262872017,diag_prod,8909.090909090908
s(gam_age_diag_prod),-5.445774555400605,7.93245776007214,diag_prod,9000
s(gam_age_diag_sum),0.52810729103135,1.454730387399934,diag_sum,0
s(gam_age_diag_sum),0.5349596278923734,1.4245270319896202,diag_sum,1.9191919191919191
s(gam_age_diag_sum),0.5417569939591378,1.3950232767222686,diag_sum,3.8383838383838382
s(gam_age_diag_sum),0.5483939194551828,1.3661986642855672,diag_sum,5.757575757575758
s(gam_age_diag_sum),0.5547152560305245,1.337998540293721,diag_sum,7.6767676767676765
s(gam_age_diag_sum),0.5605236250683198,1.3103382450052703,diag_sum,9.595959595959595
s(gam_age_diag_sum),0.5655867693642725,1.2831098011348903,diag_sum,11.515151515151516
s(gam_age_diag_sum),0.5696450429044632,1.2561907219566275,diag_sum,13.434343434343434
s(gam_age_diag_sum),0.5724192446509287,1.2294541583388552,diag_sum,15.353535353535353
s(gam_age_diag_sum),0.5736189438093171,1.2027793108691751,diag_sum,17.272727272727273
s(gam_age_diag_sum),0.5729513629586045,1.1760609287727546,diag_sum,19.19191919191919
s(gam_age_diag_sum),0.5701307898156213,1.1492168234772753,diag_sum,21.11111111111111
